"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C6","2","100nF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C2,C9","2","10nF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C3","1","100uF","","","","Capacitor_SMD:C_1206_3216Metric","~"
"C4,C5","2","10uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C7","1","47uF","","","","Capacitor_SMD:C_1206_3216Metric","~"
"C8","1","2.2uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"D1","1","POWER_LED","","","","LED_SMD:LED_0805_2012Metric","~"
"D2,D3,D4,D5","4","LED","","","","LED_SMD:LED_0805_2012Metric","~"
"J1","1","UART_PROGRAMMING","","","","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical_SMD_Pin1Left","~"
"J2","1","BATTERY_IN","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical_SMD_Pin1Left","~"
"J3","1","LEFT_MOTOR_CONN","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical_SMD_Pin1Left","~"
"J4","1","RIGHT_MOTOR_CONN","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical_SMD_Pin1Left","~"
"J5","1","LINE_SENSOR_CONN","","","","Connector_PinHeader_2.54mm:PinHeader_1x07_P2.54mm_Vertical_SMD_Pin1Left","~"
"R1,R2,R4,R9","4","10k","","","","Resistor_SMD:R_0805_2012Metric","~"
"R3,R5,R6,R7,R8","5","1k","","","","Resistor_SMD:R_0805_2012Metric","~"
"SW1","1","RESET","","","","Button_Switch_SMD:SW_SPST_TL3342","~"
"SW2","1","BOOT","","","","Button_Switch_SMD:SW_SPST_TL3342","~"
"SW3","1","POWER_SWITCH","","","","Button_Switch_SMD:SW_SPST_TL3342","~"
"SW4","1","START_BUTTON","","","","Button_Switch_SMD:SW_SPST_TL3342","~"
"U3","1","ESP32-WROOM-32D-N4","","","","RF_Module:ESP32-WROOM-32D","https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32d_esp32-wroom-32u_datasheet_en.pdf"
"U4","1","3V3_REGULATOR","","","","Package_TO_SOT_SMD:SOT-23-5","https://www.diodes.com/assets/Datasheets/AP2112.pdf"
"U5","1","DRV8833PW","","","","Package_SO:TSSOP-16_4.4x5mm_P0.65mm","http://www.ti.com/lit/ds/symlink/drv8833.pdf"
